# DATA DESCRIPTION:
# Citation:	Ehrmann, Werner; Schmiedl, Gerhard; Beuscher, Sarah; Krüger, Stefan (2016): Clay mineralogy on sediment core M40/4_SL71 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.869095, 
# 	Supplement to: Ehrmann, W et al. (2017): Intensity of African Humid Periods Estimated from Saharan Dust Fluxes. PLoS ONE, 12(1), e0170989, https://doi.org/10.1371/journal.pone.0170989
# Abstract:	North Africa experienced dramatic changes in hydrology and vegetation during the late Quaternary driven by insolation-induced shifts of the tropical rain belt and further modulated by millennial-scale droughts and vegetation-climate feedbacks. While most past proxy and modelling studies concentrated on the temporal and spatial dynamics of the last African humid period, little is known about the intensities and characteristics of pre-Holocene humid periods. Here we present a high-resolution record of fine-grained eastern Saharan dust from the Eastern Mediterranean Sea spanning the last 180 kyr, which is based on the clay mineral composition of the marine sediments, especially the kaolinite/chlorite ratio. Minimum aeolian kaolinite transport occurred during the African Humid Periods because kaolinite deflation was hampered by increased humidity and vegetation cover. Instead, kaolinite weathering from kaolinite-bearing Cenozoic rocks was stored in lake basins, river beds and soils during these periods. During the subsequent dry phases, fine-grained dust was mobilised from the desiccated lakes, rivers and soils resulting in maximum aeolian uptake and transport of kaolinite. The kaolinite transport decreased again when these sediment sources exhausted. We conclude that the amount of clay-sized dust blown out of the Sahara into the Eastern Mediterranean Sea is proportional to the intensity of the kaolinite weathering and accumulation in soils and lake sediments, and thus to the strength of the preceding humid period. These humid periods provided the windows for the migration of modern humans out of Africa, as postulated previously. The strongest humid period occurred during the Eemian and was followed by two weaker phases centred at ca. 100 ka and ca. 80 ka.
# Related to:	Ehrmann, Werner; Schmiedl, Gerhard; Beuscher, Sarah; Krüger, Stefan (2017): Table 1. Data used for constructing the age model for the investigated sediment core M40/4_SL71 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.871370
# Coverage:	LATITUDE: 34.811160 * LONGITUDE: 23.194160
# 	DATE/TIME START: 1998-01-25T07:12:00 * DATE/TIME END: 1998-01-25T07:12:00
# 	MINIMUM DEPTH, sediment/rock: 0.0025 m * MAXIMUM DEPTH, sediment/rock: 4.2175 m
# Event(s):	M40/4_SL71 (GeoTü SL71) * LATITUDE: 34.811160 * LONGITUDE: 23.194160 * DATE/TIME: 1998-01-25T07:12:00 * ELEVATION: -2788.0 m * CAMPAIGN: M40/4 (URI: https://doi.org/10.2312/cr_m40) * BASIS: Meteor (1986) (URI: https://en.wikipedia.org/wiki/RV_Meteor_(1986)) * METHOD/DEVICE: Gravity corer (Kiel type) (SL)
# Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm)
# 	AGE [ka BP] (Age) * GEOCODE * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm)
# 	Kaolinite/Chlorite ratio (Kln/Chl) * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm) * METHOD/DEVICE: Calculated
# 	Palygorskite [%] (Plg) * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm) * METHOD/DEVICE: X-ray diffraction TEXTUR, clay fraction
# 	Kaolinite [%] (Kln) * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm) * METHOD/DEVICE: X-ray diffraction TEXTUR, clay fraction
# 	Kaolinite/standard ratio (Kln/std) * PI: Ehrmann, Werner (ehrmann@rz.uni-leipzig.de, http://www.uni-leipzig.de/~geologie/Mitarbeiter/Ehrmann/ehrmann.htm) * METHOD/DEVICE: Calculated
# License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
# Size:	2562 data points

Depth sed [m]	Age [ka BP]	Kln/Chl	Plg [%]	Kln [%]	Kln/std
1.0575	51.431	1.45	6.3	21.5	
1.0625	51.537	1.46	7.1	21.7	
1.0675	51.643	1.54	6.8	23.5	
1.0725	51.750	1.54	6.8	22.3	
1.0775	51.856	1.51	9.7	21.8	
1.0825	51.962	1.48	9.0	22.1	
1.0875	52.068	1.46	7.5	21.3	
1.0925	52.174	1.45	7.5	22.3	
1.0975	52.281	1.40	9.0	20.9	
1.1025	52.387	1.38	8.8	19.2	
1.1075	52.493	1.36	8.1	19.7	
1.1125	52.599	1.37	9.0	20.0	
1.1175	52.705	1.32	9.2	18.8	
1.1225	52.811	1.35	7.9	18.8	
1.1275	52.918	1.37	7.0	19.1	
1.1325	53.024	1.37	7.9	18.5	
1.1375	53.130	1.39	4.7	20.0	
1.1425	53.236	1.34	7.5	20.2	
1.1475	53.342	1.37	7.8	20.6	
1.1525	53.449	1.37	6.5	20.8	
1.1575	53.555	1.36	7.4	20.4	
1.1625	53.661	1.31	7.0	20.0	
1.1675	53.767	1.32	7.0	20.3	
1.1725	53.873	1.43	5.9	21.3	
1.1775	53.979	1.68	7.2	22.6	
1.1825	54.086	1.67	5.8	23.1	
1.1875	54.192	1.60	5.7	21.8	
1.1925	54.298	1.48	7.4	22.0	
1.1975	54.404	1.29	5.9	19.7	
1.2025	54.510	1.30	6.9	19.4	
1.2075	54.617	1.30	6.5	18.8	
1.2125	54.723	1.20	6.3	19.1	
1.2175	54.829	1.20	6.8	18.2	
1.2225	54.935	1.24	6.5	18.2	0.55
1.2275	55.041	1.18	6.2	17.5	
1.2325	55.147	1.21	6.9	18.9	
1.2375	55.254	1.17	4.8	18.6	
1.2425	55.360	1.21	5.8	19.6	
1.2475	55.466	1.20	6.1	19.3	
1.2525	55.572	1.19	5.5	19.3	
1.2575	55.678	1.39	7.1	20.5	
1.2625	55.785	1.24	5.9	18.5	
1.2675	55.891	1.27	5.5	18.3	
1.2725	55.997	1.16	7.5	18.1	
1.2775	56.189	1.18	7.3	18.7	
1.2825	56.468	1.22	9.8	18.4	
1.2875	56.747	1.19	8.0	19.1	
1.2925	57.026	1.18	7.2	18.9	
1.2975	57.305	1.23	7.5	18.4	
1.3025	57.584	1.27	6.7	19.6	
1.3075	57.863	1.28	7.1	18.1	
1.3125	58.142	1.30	8.0	19.8	
1.3175	58.420	1.30	8.1	19.3	
1.3225	58.699	1.32	7.8	19.0	
1.3275	58.978	1.35	9.4	18.7	
1.3325	59.257	1.29	8.4	19.4	
1.3375	59.536	1.40	7.3	20.5	
1.3425	59.815	1.38	7.3	18.8	
1.3475	60.094	1.45	7.3	20.7	
1.3525	60.373	1.48	6.3	20.0	
1.3575	60.651	1.41	9.0	20.0	
1.3625	60.930	1.40	6.0	19.7	
1.3675	61.209	1.48	5.5	21.1	
1.3725	61.488	1.46	7.8	20.8	
1.3775	61.767	1.21	7.1	17.4	
1.3825	62.046	1.23	7.7	18.3	
1.3875	62.325	1.18	8.0	17.7	
1.3925	62.604	1.17	8.1	17.8	
1.3975	62.882	1.23	7.0	18.4	
1.4025	63.161	1.32	5.9	19.5	
1.4075	63.440	1.29	5.8	18.5	
1.4125	63.719	1.30	6.1	19.9	
1.4175	63.998	1.25	6.8	18.3	
1.4225	64.277	1.35	8.2	18.9	
1.4275	64.556	1.41	9.8	20.1	
1.4325	64.835	1.63	7.0	20.7	
1.4375	65.113	1.45	8.5	20.1	
1.4425	65.392	1.46	8.1	19.6	
1.4475	65.671	1.25	6.5	18.2	
1.4525	65.950	1.32	7.0	19.3	
1.4575	66.229	1.32	8.2	18.4	
1.4625	66.508	1.32	6.4	19.0	
1.4675	66.787	1.31	6.3	19.3	
1.4725	67.066	1.35	7.2	20.3	
1.4775	67.293	1.37	7.1	19.4	
1.4825	67.468	1.31	7.0	19.4	
1.4875	67.643	1.27	7.8	18.6	
1.4925	67.818	1.30	6.6	19.2	
1.4975	67.994	1.34	6.7	19.1	
1.5025	68.169	1.36	7.2	20.2	
1.5075	68.344	1.34	7.4	19.5	
1.5125	68.519	1.39	7.6	20.4	
1.5175	68.695	1.47	7.3	21.3	
1.5225	68.870	1.37	8.0	20.0	
1.5275	69.045	1.50	9.3	22.4	
1.5325	69.220	1.65	8.2	23.0	
1.5375	69.396	1.54	8.6	22.3	
1.5425	69.571	1.64	8.3	23.2	
1.5475	69.746	1.62	8.0	22.6	
1.5525	69.921	1.52	7.7	21.3	
1.5575	70.097	1.47	8.4	22.1	
1.5625	70.272	1.58	7.8	23.7	
1.5675	70.447	1.68	8.7	25.4	0.73
1.5725	70.622	1.75	8.6	25.0	
1.5775	70.795	1.85	8.2	25.0	
1.5825	71.064	1.92	8.1	25.9	
1.5875	71.264	1.69	9.3	24.3	
1.5925	71.463	2.04	8.9	26.0	
1.5975	71.663	1.89	7.7	25.7	0.84
1.6025	71.862	2.09	8.7	26.1	
1.6075	72.062	1.96	8.3	26.0	
1.6125	72.262	2.37	7.6	27.9	
1.6175	72.461	2.46	8.9	29.1	
1.6225	72.661	2.28	10.1	28.5	
1.6275	72.860	2.47	9.3	29.3	
1.6325	73.060	2.56	10.4	29.0	
1.6375	73.259	2.29	11.9	28.1	
1.6425	73.459	2.33	10.8	28.0	
1.6475	73.658	2.11	10.0	29.0	
1.6525	73.858	2.73	12.0	32.7	
1.6575	74.058	3.08	9.8	33.7	
1.6625	74.257	2.95	12.0	31.3	
1.6675	74.457	2.59	10.6	31.5	0.96
1.6725	74.656	2.20	9.7	27.0	
1.6775	74.856	2.38	10.3	27.5	
1.6825	75.055	2.53	7.8	27.4	
1.6875	75.255	1.92	7.6	24.0	
1.6925	75.455	1.67	6.7	22.0	
1.6975	75.654	1.50	6.4	20.9	
1.7025	75.854	1.44	6.0	20.2	
1.7075	76.053	1.34	6.6	19.6	
1.7125	76.253	1.29	6.7	20.5	
1.7175	76.452	1.19	6.1	18.8	
1.7225	76.652	1.14	6.6	18.8	
1.7275	76.851	1.17	7.0	18.4	
1.7325	77.051	0.97	6.4	16.5	
1.7375	77.051	1.02	8.2	15.2	
1.7425	77.051	0.90	7.7	15.3	
1.7475	77.051	0.96	7.2	15.4	0.31
1.7525	77.051	0.93	5.9	15.6	
1.7575	77.051	0.93	5.6	13.9	
1.7625	77.051	0.86	5.9	14.0	
1.7675	77.241	0.91	6.3	14.1	
1.7725	77.410	0.89	5.8	14.9	
1.7775	77.645	0.93	7.3	16.0	
1.7825	77.944	0.90	7.3	16.1	
1.7875	78.244	0.94	6.3	16.1	
1.7925	78.544	0.88	6.4	15.1	
1.7975	78.843	0.96	7.1	15.7	
1.8025	79.143	0.92	5.8	15.6	
1.8075	79.442	0.91	7.0	15.4	
1.8125	79.742	0.92	7.5	15.1	
1.8175	80.042	0.88	5.6	15.0	
1.8225	80.341	0.79	6.4	14.0	0.31
1.8275	80.641	0.89	6.5	15.2	
1.8325	80.940	0.90	4.8	15.1	
1.8375	81.240	0.86	4.6	15.5	
1.8425	81.540	1.06	5.0	16.4	
1.8475	81.839	1.12	5.5	17.2	
1.8525	82.139	1.13	5.3	18.5	
1.8575	82.438	1.12	7.8	18.8	
1.8625	82.738	1.26	6.6	19.8	
1.8675	83.038	1.30	7.3	20.0	
1.8725	83.337	1.27	5.7	19.8	
1.8775	83.637	1.24	6.0	19.0	
1.8825	83.936	1.25	6.1	19.2	
1.8875	84.236	1.25	6.6	19.9	
1.8925	84.536	1.23	7.2	20.1	
1.8975	84.835	1.33	5.6	19.8	
1.9025	85.135	1.36	6.4	21.2	0.50
1.9075	85.434	1.32	8.8	19.1	
1.9125	85.734	1.55	5.7	22.3	
1.9175	86.034	1.44	6.5	20.3	
1.9225	86.333	1.53	8.3	20.3	
1.9275	86.591	1.59	7.6	21.8	
1.9325	86.806	1.61	8.0	22.1	
1.9375	87.021	1.55	7.9	20.9	
1.9425	87.236	1.64	7.3	21.8	
1.9475	87.451	1.80	7.1	23.1	
1.9525	87.666	1.80	7.1	23.6	
1.9575	87.881	1.83	8.7	23.7	
1.9625	88.097	1.90	8.1	23.8	
1.9675	88.312	1.78	8.4	24.1	
1.9725	88.527	1.90	9.1	25.0	
1.9775	88.742	1.84	7.9	24.5	
1.9825	88.957	1.94	7.6	24.5	
1.9875	89.172	1.87	10.5	25.0	
1.9925	89.388	1.86	8.7	25.2	
1.9975	89.603	1.84	8.2	24.2	
2.0025	89.818	1.88	8.1	25.1	
2.0075	90.033	1.88	9.3	25.6	
2.0125	90.248	1.90	8.1	24.8	
2.0175	90.463	1.96	8.9	25.8	0.77
2.0225	90.678	2.00	8.4	25.7	
2.0275	90.894	2.02	8.3	27.9	
2.0325	91.109	2.19	10.7	26.6	
2.0375	91.324	2.28	12.1	25.4	
2.0425	91.539	2.36	12.6	26.9	
2.0475	91.754	2.33	11.9	27.7	
2.0525	91.969	2.41	13.1	26.5	
2.0575	92.185	2.53	13.8	29.4	0.91
2.0625	92.400	2.59	14.1	27.8	
2.0675	92.615	2.54	15.0	27.4	
2.0725	92.830	2.37	13.2	27.1	
2.0775	93.045	2.52	14.1	26.4	
2.0825	93.260	2.53	14.7	27.6	
2.0875	93.475	2.62	14.1	28.2	
2.0925	93.691	2.55	16.4	28.4	
2.0975	93.906	2.43	12.9	27.0	
2.1025	94.121	2.46	14.7	27.4	
2.1075	94.336	2.35	14.2	26.8	
2.1125	94.551	2.54	13.6	25.6	
2.1175	94.766	2.54	13.7	26.1	0.88
2.1225	94.982	2.54	14.6	25.3	
2.1275	95.197	2.55	14.3	25.1	
2.1325	95.412	2.11	12.4	23.3	
2.1375	95.627	1.61	12.7	20.2	
2.1425	95.842	1.36	10.8	16.7	
2.1475	96.057	1.29	8.8	16.8	
2.1525	96.272	1.11	9.1	14.5	
2.1575	96.524	1.00	9.3	14.1	
2.1625	96.812	1.04	7.3	14.6	
2.1675	97.100	0.98	8.1	13.7	
2.1725	97.388	0.97	7.5	13.9	
2.1775	97.676	0.99	6.8	14.7	0.36
2.1825	97.964	1.06	8.1	15.3	
2.1875	98.251	0.99	7.5	14.0	
2.1925	98.539	1.01	7.6	13.5	
2.1975	98.827	1.17	6.2	14.1	
